data;nome_drs;ocupacao_leitos;pacientes_uti_ultimo_dia;total_covid_uti_ultimo_dia;ocupacao_leitos_ultimo_dia;internacoes_ultimo_dia;pacientes_enf_ultimo_dia;total_covid_enf_ultimo_dia;;;Comando para o HeideSQL
14/06/2021;DRS 08 Franca;90.68;158;172;91.86;26;167;269;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-14', 'DRS 08 Franca', 90.68, 158, 172, 91.86, 26, 167, 269);"
14/06/2021;DRS 09 Marília;95.42;258;271;95.2;55;479;594;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-14', 'DRS 09 Marília', 95.42, 258, 271, 95.2, 55, 479, 594);"
14/06/2021;DRS 10 Piracicaba;91.9;408;451;90.47;89;426;600;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-14', 'DRS 10 Piracicaba', 91.9, 408, 451, 90.47, 89, 426, 600);"
14/06/2021;DRS 11 Presidente Prudente;93.73;151;165;91.52;62;398;488;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-14', 'DRS 11 Presidente Prudente', 93.73, 151, 165, 91.52, 62, 398, 488);"
14/06/2021;DRS 12 Registro;86.61;46;54;85.19;13;58;78;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-14', 'DRS 12 Registro', 86.61, 46, 54, 85.19, 13, 58, 78);"
14/06/2021;DRS 13 Ribeirão Preto;93.59;436;459;94.99;75;408;536;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-14', 'DRS 13 Ribeirão Preto', 93.59, 436, 459, 94.99, 75, 408, 536);"
14/06/2021;DRS 14 São João da Boa Vista;92.47;154;170;90.59;25;269;472;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-14', 'DRS 14 São João da Boa Vista', 92.47, 154, 170, 90.59, 25, 269, 472);"
14/06/2021;DRS 15 São José do Rio Preto;88.89;564;647;87.17;114;696;970;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-14', 'DRS 15 São José do Rio Preto', 88.89, 564, 647, 87.17, 114, 696, 970);"
14/06/2021;DRS 16 Sorocaba;90.58;520;568;91.55;149;780;980;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-14', 'DRS 16 Sorocaba', 90.58, 520, 568, 91.55, 149, 780, 980);"
14/06/2021;DRS 17 Taubaté;79.9;539;698;77.22;138;584;1105;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-14', 'DRS 17 Taubaté', 79.9, 539, 698, 77.22, 138, 584, 1105);"
14/06/2021;Estado de São Paulo;82.16;11100;13660;81.26;2176;13066;19973;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-14', 'Estado de São Paulo', 82.16, 11100, 13660, 81.26, 2176, 13066, 19973);"
15/06/2021;DRS 01 Grande São Paulo;79.04;5554;7000;79.34;984;5728;9419;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-15', 'DRS 01 Grande São Paulo', 79.04, 5554, 7000, 79.34, 984, 5728, 9419);"
15/06/2021;DRS 02 Araçatuba;76.18;132;169;78.11;34;220;394;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-15', 'DRS 02 Araçatuba', 76.18, 132, 169, 78.11, 34, 220, 394);"
15/06/2021;DRS 03 Araraquara;87.4;235;271;86.72;63;320;448;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-15', 'DRS 03 Araraquara', 87.4, 235, 271, 86.72, 63, 320, 448);"
15/06/2021;DRS 04 Baixada Santista;68.1;411;626;65.65;84;395;713;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-15', 'DRS 04 Baixada Santista', 68.1, 411, 626, 65.65, 84, 395, 713);"
15/06/2021;DRS 05 Barretos;95.8;119;122;97.54;38;139;220;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-15', 'DRS 05 Barretos', 95.8, 119, 122, 97.54, 38, 139, 220);"
15/06/2021;DRS 06 Bauru;89.94;367;408;89.95;91;652;880;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-15', 'DRS 06 Bauru', 89.94, 367, 408, 89.95, 91, 652, 880);"
15/06/2021;DRS 07 Campinas;80.76;1098;1356;80.97;262;1279;1812;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-15', 'DRS 07 Campinas', 80.76, 1098, 1356, 80.97, 262, 1279, 1812);"
15/06/2021;DRS 08 Franca;90.02;151;172;87.79;21;153;271;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-15', 'DRS 08 Franca', 90.02, 151, 172, 87.79, 21, 153, 271);"
15/06/2021;DRS 09 Marília;95.1;253;268;94.4;75;461;586;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-15', 'DRS 09 Marília', 95.1, 253, 268, 94.4, 75, 461, 586);"
15/06/2021;DRS 10 Piracicaba;91.6;407;455;89.45;117;440;612;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-15', 'DRS 10 Piracicaba', 91.6, 407, 455, 89.45, 117, 440, 612);"
15/06/2021;DRS 11 Presidente Prudente;93.54;160;171;93.57;45;381;477;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-15', 'DRS 11 Presidente Prudente', 93.54, 160, 171, 93.57, 45, 381, 477);"
15/06/2021;DRS 12 Registro;85.05;44;54;81.48;9;62;88;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-15', 'DRS 12 Registro', 85.05, 44, 54, 81.48, 9, 62, 88);"
15/06/2021;DRS 13 Ribeirão Preto;93.49;426;457;93.22;76;414;537;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-15', 'DRS 13 Ribeirão Preto', 93.49, 426, 457, 93.22, 76, 414, 537);"
15/06/2021;DRS 14 São João da Boa Vista;92.63;161;172;93.6;50;285;473;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-15', 'DRS 14 São João da Boa Vista', 92.63, 161, 172, 93.6, 50, 285, 473);"
15/06/2021;DRS 15 São José do Rio Preto;88.76;585;654;89.45;126;674;972;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-15', 'DRS 15 São José do Rio Preto', 88.76, 585, 654, 89.45, 126, 674, 972);"
15/06/2021;DRS 16 Sorocaba;90.51;498;557;89.41;120;773;986;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-15', 'DRS 16 Sorocaba', 90.51, 498, 557, 89.41, 120, 773, 986);"
15/06/2021;DRS 17 Taubaté;79.74;558;696;80.17;126;610;1128;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-15', 'DRS 17 Taubaté', 79.74, 558, 696, 80.17, 126, 610, 1128);"
15/06/2021;Estado de São Paulo;82;11159;13608;82;2321;12986;20016;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-15', 'Estado de São Paulo', 82, 11159, 13608, 82, 2321, 12986, 20016);"
16/06/2021;DRS 01 Grande São Paulo;78.65;5434;7011;77.51;1106;5679;9332;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-16', 'DRS 01 Grande São Paulo', 78.65, 5434, 7011, 77.51, 1106, 5679, 9332);"
16/06/2021;DRS 02 Araçatuba;75.92;135;177;76.27;35;215;394;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-16', 'DRS 02 Araçatuba', 75.92, 135, 177, 76.27, 35, 215, 394);"
16/06/2021;DRS 03 Araraquara;87.17;232;269;86.25;59;298;430;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-16', 'DRS 03 Araraquara', 87.17, 232, 269, 86.25, 59, 298, 430);"
16/06/2021;DRS 04 Baixada Santista;66.92;400;625;64;72;405;710;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-16', 'DRS 04 Baixada Santista', 66.92, 400, 625, 64, 72, 405, 710);"
16/06/2021;DRS 05 Barretos;96.59;114;120;95;37;149;226;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-16', 'DRS 05 Barretos', 96.59, 114, 120, 95, 37, 149, 226);"
16/06/2021;DRS 06 Bauru;90.36;357;400;89.25;114;655;893;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-16', 'DRS 06 Bauru', 90.36, 357, 400, 89.25, 114, 655, 893);"
16/06/2021;DRS 07 Campinas;80.51;1087;1343;80.94;300;1307;1845;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-16', 'DRS 07 Campinas', 80.51, 1087, 1343, 80.94, 300, 1307, 1845);"
16/06/2021;DRS 08 Franca;89.28;149;172;86.63;30;147;267;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-16', 'DRS 08 Franca', 89.28, 149, 172, 86.63, 30, 147, 267);"
16/06/2021;DRS 09 Marília;94.99;260;273;95.24;86;469;588;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-16', 'DRS 09 Marília', 94.99, 260, 273, 95.24, 86, 469, 588);"
16/06/2021;DRS 10 Piracicaba;91.29;412;454;90.75;127;452;603;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-16', 'DRS 10 Piracicaba', 91.29, 412, 454, 90.75, 127, 452, 603);"
16/06/2021;DRS 11 Presidente Prudente;92.9;152;164;92.68;67;383;486;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-16', 'DRS 11 Presidente Prudente', 92.9, 152, 164, 92.68, 67, 383, 486);"
16/06/2021;DRS 12 Registro;83.72;45;54;83.33;12;65;78;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-16', 'DRS 12 Registro', 83.72, 45, 54, 83.33, 12, 65, 78);"
16/06/2021;DRS 13 Ribeirão Preto;93.31;418;455;91.87;87;420;543;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-16', 'DRS 13 Ribeirão Preto', 93.31, 418, 455, 91.87, 87, 420, 543);"
16/06/2021;DRS 14 São João da Boa Vista;92.81;158;165;95.76;52;283;475;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-16', 'DRS 14 São João da Boa Vista', 92.81, 158, 165, 95.76, 52, 283, 475);"
16/06/2021;DRS 15 São José do Rio Preto;88.86;583;655;89.01;165;668;978;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-16', 'DRS 15 São José do Rio Preto', 88.86, 583, 655, 89.01, 165, 668, 978);"
16/06/2021;DRS 16 Sorocaba;90.4;500;556;89.93;127;747;969;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-16', 'DRS 16 Sorocaba', 90.4, 500, 556, 89.93, 127, 747, 969);"
16/06/2021;DRS 17 Taubaté;80.4;559;700;79.86;103;594;1105;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-16', 'DRS 17 Taubaté', 80.4, 559, 700, 79.86, 103, 594, 1105);"
16/06/2021;Estado de São Paulo;81.73;10995;13593;80.89;2579;12936;19922;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-16', 'Estado de São Paulo', 81.73, 10995, 13593, 80.89, 2579, 12936, 19922);"
17/06/2021;DRS 01 Grande São Paulo;78.3;5430;7049;77.03;1097;5680;9446;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-17', 'DRS 01 Grande São Paulo', 78.3, 5430, 7049, 77.03, 1097, 5680, 9446);"
17/06/2021;DRS 02 Araçatuba;75.08;127;180;70.56;41;221;395;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-17', 'DRS 02 Araçatuba', 75.08, 127, 180, 70.56, 41, 221, 395);"
17/06/2021;DRS 03 Araraquara;87.49;236;262;90.08;56;286;418;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-17', 'DRS 03 Araraquara', 87.49, 236, 262, 90.08, 56, 286, 418);"
17/06/2021;DRS 04 Baixada Santista;65.68;386;618;62.46;85;420;719;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-17', 'DRS 04 Baixada Santista', 65.68, 386, 618, 62.46, 85, 420, 719);"
17/06/2021;DRS 05 Barretos;96.35;116;122;95.08;37;126;227;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-17', 'DRS 05 Barretos', 96.35, 116, 122, 95.08, 37, 126, 227);"
17/06/2021;DRS 06 Bauru;90.24;363;399;90.98;110;673;903;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-17', 'DRS 06 Bauru', 90.24, 363, 399, 90.98, 110, 673, 903);"
17/06/2021;DRS 07 Campinas;80.93;1103;1341;82.25;271;1290;1896;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-17', 'DRS 07 Campinas', 80.93, 1103, 1341, 82.25, 271, 1290, 1896);"
17/06/2021;DRS 08 Franca;89.05;143;172;83.14;26;148;267;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-17', 'DRS 08 Franca', 89.05, 143, 172, 83.14, 26, 148, 267);"
17/06/2021;DRS 09 Marília;95.1;266;276;96.38;88;457;598;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-17', 'DRS 09 Marília', 95.1, 266, 276, 96.38, 88, 457, 598);"
17/06/2021;DRS 10 Piracicaba;90.73;409;454;90.09;118;441;611;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-17', 'DRS 10 Piracicaba', 90.73, 409, 454, 90.09, 118, 441, 611);"
17/06/2021;DRS 11 Presidente Prudente;92.3;154;169;91.12;57;379;475;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-17', 'DRS 11 Presidente Prudente', 92.3, 154, 169, 91.12, 57, 379, 475);"
17/06/2021;DRS 12 Registro;82.32;44;54;81.48;10;55;88;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-17', 'DRS 12 Registro', 82.32, 44, 54, 81.48, 10, 55, 88);"
17/06/2021;DRS 13 Ribeirão Preto;92.81;412;456;90.35;91;415;545;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-17', 'DRS 13 Ribeirão Preto', 92.81, 412, 456, 90.35, 91, 415, 545);"
17/06/2021;DRS 14 São João da Boa Vista;92.92;156;167;93.41;41;282;473;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-17', 'DRS 14 São João da Boa Vista', 92.92, 156, 167, 93.41, 41, 282, 473);"
17/06/2021;DRS 15 São José do Rio Preto;88.7;580;650;89.23;157;683;972;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-17', 'DRS 15 São José do Rio Preto', 88.7, 580, 650, 89.23, 157, 683, 972);"
17/06/2021;DRS 16 Sorocaba;90.83;515;560;91.96;155;753;970;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-17', 'DRS 16 Sorocaba', 90.83, 515, 560, 91.96, 155, 753, 970);"
17/06/2021;DRS 17 Taubaté;79.97;549;695;78.99;154;586;1076;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-17', 'DRS 17 Taubaté', 79.97, 549, 695, 78.99, 154, 586, 1076);"
17/06/2021;Estado de São Paulo;81.46;10989;13624;80.66;2594;12895;20079;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-17', 'Estado de São Paulo', 81.46, 10989, 13624, 80.66, 2594, 12895, 20079);"
18/06/2021;DRS 01 Grande São Paulo;77.77;5291;6996;75.63;1086;5540;9344;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-18', 'DRS 01 Grande São Paulo', 77.77, 5291, 6996, 75.63, 1086, 5540, 9344);"
18/06/2021;DRS 02 Araçatuba;75.16;136;180;75.56;39;218;394;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-18', 'DRS 02 Araçatuba', 75.16, 136, 180, 75.56, 39, 218, 394);"
18/06/2021;DRS 03 Araraquara;87.28;231;265;87.17;70;297;427;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-18', 'DRS 03 Araraquara', 87.28, 231, 265, 87.17, 70, 297, 427);"
18/06/2021;DRS 04 Baixada Santista;64.32;368;618;59.55;83;423;735;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-18', 'DRS 04 Baixada Santista', 64.32, 368, 618, 59.55, 83, 423, 735);"
18/06/2021;DRS 05 Barretos;96.13;117;122;95.9;34;124;243;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-18', 'DRS 05 Barretos', 96.13, 117, 122, 95.9, 34, 124, 243);"
18/06/2021;DRS 06 Bauru;90.24;361;393;91.86;112;652;893;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-18', 'DRS 06 Bauru', 90.24, 361, 393, 91.86, 112, 652, 893);"
18/06/2021;DRS 07 Campinas;81.53;1115;1334;83.58;297;1286;1859;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-18', 'DRS 07 Campinas', 81.53, 1115, 1334, 83.58, 297, 1286, 1859);"
18/06/2021;DRS 08 Franca;87.69;146;177;82.49;30;151;292;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-18', 'DRS 08 Franca', 87.69, 146, 177, 82.49, 30, 151, 292);"
18/06/2021;DRS 09 Marília;94.8;260;276;94.2;75;455;592;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-18', 'DRS 09 Marília', 94.8, 260, 276, 94.2, 75, 455, 592);"
18/06/2021;DRS 10 Piracicaba;90.49;405;447;90.6;119;453;613;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-18', 'DRS 10 Piracicaba', 90.49, 405, 447, 90.6, 119, 453, 613);"
18/06/2021;DRS 11 Presidente Prudente;92.52;161;173;93.06;59;384;480;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-18', 'DRS 11 Presidente Prudente', 92.52, 161, 173, 93.06, 59, 384, 480);"
18/06/2021;DRS 12 Registro;81.81;45;54;83.33;10;60;88;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-18', 'DRS 12 Registro', 81.81, 45, 54, 83.33, 10, 60, 88);"
18/06/2021;DRS 13 Ribeirão Preto;92.86;417;447;93.29;95;398;555;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-18', 'DRS 13 Ribeirão Preto', 92.86, 417, 447, 93.29, 95, 398, 555);"
18/06/2021;DRS 14 São João da Boa Vista;93.02;157;167;94.01;57;298;470;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-18', 'DRS 14 São João da Boa Vista', 93.02, 157, 167, 94.01, 57, 298, 470);"
18/06/2021;DRS 15 São José do Rio Preto;89.04;570;649;87.83;136;676;985;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-18', 'DRS 15 São José do Rio Preto', 89.04, 570, 649, 87.83, 136, 676, 985);"
18/06/2021;DRS 16 Sorocaba;90.82;493;552;89.31;152;770;989;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-18', 'DRS 16 Sorocaba', 90.82, 493, 552, 89.31, 152, 770, 989);"
18/06/2021;DRS 17 Taubaté;79.21;528;697;75.75;123;574;1075;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-18', 'DRS 17 Taubaté', 79.21, 528, 697, 75.75, 123, 574, 1075);"
18/06/2021;Estado de São Paulo;81.13;10801;13547;79.73;2577;12759;20034;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-18', 'Estado de São Paulo', 81.13, 10801, 13547, 79.73, 2577, 12759, 20034);"
19/06/2021;DRS 01 Grande São Paulo;77.1;5230;7019;74.51;1014;5465;9589;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-19', 'DRS 01 Grande São Paulo', 77.1, 5230, 7019, 74.51, 1014, 5465, 9589);"
19/06/2021;DRS 02 Araçatuba;74.9;130;182;71.43;35;193;394;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-19', 'DRS 02 Araçatuba', 74.9, 130, 182, 71.43, 35, 193, 394);"
19/06/2021;DRS 03 Araraquara;87.59;237;263;90.11;66;302;439;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-19', 'DRS 03 Araraquara', 87.59, 237, 263, 90.11, 66, 302, 439);"
19/06/2021;DRS 04 Baixada Santista;63;363;613;59.22;66;419;730;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-19', 'DRS 04 Baixada Santista', 63, 363, 613, 59.22, 66, 419, 730);"
19/06/2021;DRS 05 Barretos;96.48;118;122;96.72;31;114;222;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-19', 'DRS 05 Barretos', 96.48, 118, 122, 96.72, 31, 114, 222);"
19/06/2021;DRS 06 Bauru;90.09;364;412;88.35;117;639;884;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-19', 'DRS 06 Bauru', 90.09, 364, 412, 88.35, 117, 639, 884);"
19/06/2021;DRS 07 Campinas;81.16;1083;1369;79.11;278;1314;1860;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-19', 'DRS 07 Campinas', 81.16, 1083, 1369, 79.11, 278, 1314, 1860);"
19/06/2021;DRS 08 Franca;87.01;152;177;85.88;33;144;269;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-19', 'DRS 08 Franca', 87.01, 152, 177, 85.88, 33, 144, 269);"
19/06/2021;DRS 09 Marília;94.99;262;280;93.57;76;432;593;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-19', 'DRS 09 Marília', 94.99, 262, 280, 93.57, 76, 432, 593);"
19/06/2021;DRS 10 Piracicaba;89.75;401;458;87.55;105;438;610;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-19', 'DRS 10 Piracicaba', 89.75, 401, 458, 87.55, 105, 438, 610);"
19/06/2021;DRS 11 Presidente Prudente;92.64;167;179;93.3;52;370;474;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-19', 'DRS 11 Presidente Prudente', 92.64, 167, 179, 93.3, 52, 370, 474);"
19/06/2021;DRS 12 Registro;82.54;44;54;81.48;10;63;88;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-19', 'DRS 12 Registro', 82.54, 44, 54, 81.48, 10, 63, 88);"
19/06/2021;DRS 13 Ribeirão Preto;92.93;417;447;93.29;72;390;552;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-19', 'DRS 13 Ribeirão Preto', 92.93, 417, 447, 93.29, 72, 390, 552);"
19/06/2021;DRS 14 São João da Boa Vista;93.19;156;165;94.55;51;282;460;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-19', 'DRS 14 São João da Boa Vista', 93.19, 156, 165, 94.55, 51, 282, 460);"
19/06/2021;DRS 15 São José do Rio Preto;89.15;589;647;91.04;171;656;966;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-19', 'DRS 15 São José do Rio Preto', 89.15, 589, 647, 91.04, 171, 656, 966);"
19/06/2021;DRS 16 Sorocaba;90.72;498;548;90.88;126;737;972;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-19', 'DRS 16 Sorocaba', 90.72, 498, 548, 90.88, 126, 737, 972);"
19/06/2021;DRS 17 Taubaté;78.46;524;692;75.72;125;551;1084;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-19', 'DRS 17 Taubaté', 78.46, 524, 692, 75.72, 125, 551, 1084);"
19/06/2021;Estado de São Paulo;80.64;10735;13627;78.78;2428;12509;20186;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-19', 'Estado de São Paulo', 80.64, 10735, 13627, 78.78, 2428, 12509, 20186);"
20/06/2021;DRS 01 Grande São Paulo;76.55;5160;7033;73.37;904;5325;9312;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-20', 'DRS 01 Grande São Paulo', 76.55, 5160, 7033, 73.37, 904, 5325, 9312);"
20/06/2021;DRS 02 Araçatuba;73.92;126;182;69.23;33;201;394;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-20', 'DRS 02 Araçatuba', 73.92, 126, 182, 69.23, 33, 201, 394);"
20/06/2021;DRS 03 Araraquara;87.62;234;266;87.97;58;273;425;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-20', 'DRS 03 Araraquara', 87.62, 234, 266, 87.97, 58, 273, 425);"
20/06/2021;DRS 04 Baixada Santista;62.03;355;612;58.01;68;390;718;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-20', 'DRS 04 Baixada Santista', 62.03, 355, 612, 58.01, 68, 390, 718);"
20/06/2021;DRS 05 Barretos;96.25;115;122;94.26;29;117;214;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-20', 'DRS 05 Barretos', 96.25, 115, 122, 94.26, 29, 117, 214);"
20/06/2021;DRS 06 Bauru;89.92;378;410;92.2;116;655;903;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-20', 'DRS 06 Bauru', 89.92, 378, 410, 92.2, 116, 655, 903);"
20/06/2021;DRS 07 Campinas;80.22;1093;1459;74.91;266;1261;1851;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-20', 'DRS 07 Campinas', 80.22, 1093, 1459, 74.91, 266, 1261, 1851);"
20/06/2021;DRS 08 Franca;86.06;150;177;84.75;28;145;261;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-20', 'DRS 08 Franca', 86.06, 150, 177, 84.75, 28, 145, 261);"
20/06/2021;DRS 09 Marília;94.8;265;280;94.64;83;426;614;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-20', 'DRS 09 Marília', 94.8, 265, 280, 94.64, 83, 426, 614);"
20/06/2021;DRS 10 Piracicaba;89.3;388;450;86.22;108;439;613;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-20', 'DRS 10 Piracicaba', 89.3, 388, 450, 86.22, 108, 439, 613);"
20/06/2021;DRS 11 Presidente Prudente;92.81;164;174;94.25;62;358;476;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-20', 'DRS 11 Presidente Prudente', 92.81, 164, 174, 94.25, 62, 358, 476);"
20/06/2021;DRS 12 Registro;82.28;43;54;79.63;14;61;78;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-20', 'DRS 12 Registro', 82.28, 43, 54, 79.63, 14, 61, 78);"
20/06/2021;DRS 13 Ribeirão Preto;92.65;411;449;91.54;74;370;534;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-20', 'DRS 13 Ribeirão Preto', 92.65, 411, 449, 91.54, 74, 370, 534);"
20/06/2021;DRS 14 São João da Boa Vista;93.36;155;169;91.72;38;274;492;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-20', 'DRS 14 São João da Boa Vista', 93.36, 155, 169, 91.72, 38, 274, 492);"
20/06/2021;DRS 15 São José do Rio Preto;88.91;577;651;88.63;135;665;987;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-20', 'DRS 15 São José do Rio Preto', 88.91, 577, 651, 88.63, 135, 665, 987);"
20/06/2021;DRS 16 Sorocaba;90.19;497;563;88.28;120;736;954;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-20', 'DRS 16 Sorocaba', 90.19, 497, 563, 88.28, 120, 736, 954);"
20/06/2021;DRS 17 Taubaté;77.43;520;700;74.29;112;531;1029;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-20', 'DRS 17 Taubaté', 77.43, 520, 700, 74.29, 112, 531, 1029);"
20/06/2021;Estado de São Paulo;80.09;10631;13751;77.31;2248;12227;19855;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-20', 'Estado de São Paulo', 80.09, 10631, 13751, 77.31, 2248, 12227, 19855);"
21/06/2021;DRS 01 Grande São Paulo;75.58;5057;7056;71.67;786;5135;9247;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-21', 'DRS 01 Grande São Paulo', 75.58, 5057, 7056, 71.67, 786, 5135, 9247);"
21/06/2021;DRS 02 Araçatuba;72.68;124;182;68.13;36;200;399;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-21', 'DRS 02 Araçatuba', 72.68, 124, 182, 68.13, 36, 200, 399);"
21/06/2021;DRS 03 Araraquara;88.2;239;268;89.18;55;266;432;;;"INSERT INTO leitos_e_internacoes VALUES('2021-6-21', 'DRS 03 Araraquara', 88.2, 239, 268, 89.18, 55, 266, 432);"
